"Story","Title","Result","Date","Stability","Duration (s)"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2023-09-26T14:18:23.898+08:00[Asia/Shanghai]","0.0","261.54"
"Pre registration","Pre logging multi docs","SUCCESS","2023-09-26T14:22:46.122+08:00[Asia/Shanghai]","0.0","189.3"
"Pre registration","Pre logging","SUCCESS","2023-09-26T14:25:56.074+08:00[Asia/Shanghai]","0.0","97.89"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2023-09-26T14:27:34.655+08:00[Asia/Shanghai]","0.0","92.98"
"Pre registration","Pre logging simple","SUCCESS","2023-09-26T14:29:08.317+08:00[Asia/Shanghai]","0.0","58.66"
"Pre registration","Pre logging with tax rate","SUCCESS","2023-09-26T14:30:07.645+08:00[Asia/Shanghai]","0.0","95.54"
