"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Release retention full","FAILURE","2023-09-26T15:34:01.05+08:00[Asia/Shanghai]","0.0","43.64"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2023-09-26T15:36:49.886+08:00[Asia/Shanghai]","0.0","86.96"
"Voucher entries","Checking line reference place holder","ERROR","2023-09-26T15:41:05.469+08:00[Asia/Shanghai]","0.0","272.48"
"Voucher entries","Search and post PV","ERROR","2023-09-26T15:45:38.607+08:00[Asia/Shanghai]","0.0","43.89"
"Voucher entries","Voucher entry delete a line","ERROR","2023-09-26T15:46:23.171+08:00[Asia/Shanghai]","0.0","234.09"
"Voucher entries","Voucher match with tax","ERROR","2023-09-26T15:50:17.985+08:00[Asia/Shanghai]","0.0","99.85"
"Voucher entries","Voucher match with retention","ERROR","2023-09-26T15:54:01.428+08:00[Asia/Shanghai]","0.0","106.9"
"Voucher entries","Voucher entry import CSV file","ERROR","2023-09-26T15:55:48.996+08:00[Asia/Shanghai]","0.0","100.38"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2023-09-26T15:57:30.045+08:00[Asia/Shanghai]","0.0","89.42"
"Voucher entries","Voucher entry proceed to payment","ERROR","2023-09-26T16:11:17.302+08:00[Asia/Shanghai]","0.0","366.21"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2023-09-26T16:17:24.277+08:00[Asia/Shanghai]","0.0","56.39"
"Voucher entries","Partial voucher match with retention","ERROR","2023-09-26T16:18:21.357+08:00[Asia/Shanghai]","0.0","128.88"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2023-09-26T16:20:30.945+08:00[Asia/Shanghai]","0.0","50.89"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2023-09-26T16:29:40.058+08:00[Asia/Shanghai]","0.0","56.89"
"Voucher entries","Voucher match with retention and tax","ERROR","2023-09-26T16:30:37.704+08:00[Asia/Shanghai]","0.0","116.79"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2023-09-26T16:32:35.333+08:00[Asia/Shanghai]","0.0","52.01"
"Voucher entries","Simple voucher match","ERROR","2023-09-26T16:33:28.079+08:00[Asia/Shanghai]","0.0","82.71"
"Voucher entries","Partial matching with rounded tax amount","FAILURE","2023-09-26T16:37:09.728+08:00[Asia/Shanghai]","0.0","128.67"
"Voucher entries","Voucher matching","ERROR","2023-09-26T16:41:42.59+08:00[Asia/Shanghai]","0.0","89.01"
"Voucher entries","Voucher entry export CSV file","ERROR","2023-09-26T16:43:12.303+08:00[Asia/Shanghai]","0.0","234.79"
"Voucher entries","Voucher match with rounded off tax","ERROR","2023-09-26T16:52:02.185+08:00[Asia/Shanghai]","0.0","110.93"
