"Story","Title","Result","Date","Stability","Duration (s)"
"Supplier creation","View a supplier","SUCCESS","2023-09-26T15:21:04.049+08:00[Asia/Shanghai]","0.0","49.32"
"Supplier creation","Edit a supplier","SUCCESS","2023-09-26T15:21:54.031+08:00[Asia/Shanghai]","0.0","89.87"
"Supplier creation","Payment terms update","SUCCESS","2023-09-26T15:23:24.551+08:00[Asia/Shanghai]","0.0","100.66"
"Supplier creation","Search a supplier","SUCCESS","2023-09-26T15:25:05.886+08:00[Asia/Shanghai]","0.0","35.82"
"Supplier creation","Validate or deactivate a supplier","SUCCESS","2023-09-26T15:25:42.38+08:00[Asia/Shanghai]","0.0","59.89"
"Supplier creation","Supplier and supplier master creation","SUCCESS","2023-09-26T15:26:42.916+08:00[Asia/Shanghai]","0.0","74.35"
