"Story","Title","Result","Date","Stability","Duration (s)"
"General ledger entries","Create general ledger entry using sustainability accounts","SUCCESS","2024-01-23T19:12:49.569+08:00[Asia/Shanghai]","0.0","178.24"
"General ledger entries","Create general ledger entry","SUCCESS","2024-01-23T19:15:48.519+08:00[Asia/Shanghai]","0.0","103.97"
