"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Manual payment with multiple documents","ERROR","2023-11-24T15:26:58.387+08:00[Asia/Shanghai]","0.0","257.1"
"Payments","Manual payment with negative amount","ERROR","2023-11-24T15:32:00.9+08:00[Asia/Shanghai]","0.0","154.37"
"Redistribution","Voucher match with tolerance","ERROR","2023-11-24T15:59:33.48+08:00[Asia/Shanghai]","0.0","103.43"
"Review AP entries","Create voucher entry and edit","ERROR","2023-11-24T16:14:15.925+08:00[Asia/Shanghai]","0.0","168.2"
"Review AP entries","Reversal of unposted voucher match","ERROR","2023-11-24T16:22:24.543+08:00[Asia/Shanghai]","0.0","105.16"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2023-11-24T16:57:40.81+08:00[Asia/Shanghai]","0.0","54.93"
"Voucher entries","Search and post PV","ERROR","2023-11-24T17:04:34.213+08:00[Asia/Shanghai]","0.0","52.96"
"Voucher entries","Voucher match with tax","ERROR","2023-11-24T17:07:59.025+08:00[Asia/Shanghai]","0.0","50.46"
"Voucher entries","Partial voucher match","ERROR","2023-11-24T17:08:50.185+08:00[Asia/Shanghai]","0.0","51.67"
"Voucher entries","Voucher match with retention","ERROR","2023-11-24T17:09:42.543+08:00[Asia/Shanghai]","0.0","45.37"
"Voucher entries","Voucher entry import CSV file","ERROR","2023-11-24T17:10:28.617+08:00[Asia/Shanghai]","0.0","103.5"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2023-11-24T17:12:12.824+08:00[Asia/Shanghai]","0.0","51.45"
"Voucher entries","Partial voucher match with tax rate","ERROR","2023-11-24T17:13:04.996+08:00[Asia/Shanghai]","0.0","52.14"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2023-11-24T17:18:45.621+08:00[Asia/Shanghai]","0.0","56.11"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2023-11-24T17:23:59.877+08:00[Asia/Shanghai]","0.0","51.41"
"Voucher entries","Partial voucher match with retention","ERROR","2023-11-24T17:24:51.987+08:00[Asia/Shanghai]","0.0","51.0"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2023-11-24T17:25:43.684+08:00[Asia/Shanghai]","0.0","41.16"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2023-11-24T17:32:32.074+08:00[Asia/Shanghai]","0.0","53.2"
"Voucher entries","Voucher match with retention and tax","ERROR","2023-11-24T17:33:25.952+08:00[Asia/Shanghai]","0.0","52.95"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2023-11-24T17:34:19.577+08:00[Asia/Shanghai]","0.0","52.05"
"Voucher entries","Simple voucher match","ERROR","2023-11-24T17:35:12.309+08:00[Asia/Shanghai]","0.0","54.05"
"Voucher entries","Release retention partial","ERROR","2023-11-24T17:36:07.047+08:00[Asia/Shanghai]","0.0","122.81"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2023-11-24T17:38:10.547+08:00[Asia/Shanghai]","0.0","52.62"
"Voucher entries","Voucher matching","ERROR","2023-11-24T17:41:27.943+08:00[Asia/Shanghai]","0.0","55.18"
"Voucher entries","Voucher match with rounded off tax","ERROR","2023-11-24T17:49:45.62+08:00[Asia/Shanghai]","0.0","56.05"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2023-11-24T17:52:49.068+08:00[Asia/Shanghai]","0.0","56.52"
"Inquiry and reports","Order inquiry and update","ERROR","2023-11-24T18:04:43.666+08:00[Asia/Shanghai]","0.0","164.43"
