"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Application of prepayment full","FAILURE","2023-11-24T15:31:16.504+08:00[Asia/Shanghai]","0.0","43.65"
"Payments","Application of prepayment partial","FAILURE","2023-11-24T15:44:40.266+08:00[Asia/Shanghai]","0.0","32.93"
"Unbilled PO receipts","Matching receipt","FAILURE","2023-11-24T16:50:35.932+08:00[Asia/Shanghai]","0.0","60.99"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2023-11-24T16:51:37.621+08:00[Asia/Shanghai]","0.0","40.61"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2023-11-24T16:52:18.916+08:00[Asia/Shanghai]","0.0","39.68"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2023-11-24T16:52:59.285+08:00[Asia/Shanghai]","0.0","52.43"
"Unbilled PO receipts","Unbilled POCUPR simple","FAILURE","2023-11-24T16:53:52.398+08:00[Asia/Shanghai]","0.0","40.14"
"Voucher entries","Release retention full","FAILURE","2023-11-24T16:54:33.605+08:00[Asia/Shanghai]","0.0","55.15"
"Voucher entries","Voucher entry export CSV file","FAILURE","2023-11-24T17:42:23.807+08:00[Asia/Shanghai]","0.0","148.36"
