"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Add a bank account","SUCCESS","2023-11-24T15:15:45.754+08:00[Asia/Shanghai]","0.0","73.55"
"Manage bank account","Edit a bank account","SUCCESS","2023-11-24T15:17:00.06+08:00[Asia/Shanghai]","0.0","86.22"
"Manage bank account","Search a bank account","SUCCESS","2023-11-24T15:18:26.998+08:00[Asia/Shanghai]","0.0","55.49"
"Manage bank account","Activate a bank account","SUCCESS","2023-11-24T15:19:23.223+08:00[Asia/Shanghai]","0.0","49.25"
"Manage bank account","Manage bank account using GVAGL bank account","SUCCESS","2023-11-24T15:20:13.194+08:00[Asia/Shanghai]","0.0","197.78"
