"Story","Title","Result","Date","Stability","Duration (s)"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2023-11-24T15:45:17.436+08:00[Asia/Shanghai]","0.0","133.81"
"Pre registration","Pre logging multi docs","SUCCESS","2023-11-24T15:47:31.949+08:00[Asia/Shanghai]","0.0","186.76"
"Pre registration","Pre logging","SUCCESS","2023-11-24T15:50:39.414+08:00[Asia/Shanghai]","0.0","88.3"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2023-11-24T15:52:08.391+08:00[Asia/Shanghai]","0.0","94.1"
"Pre registration","Pre logging simple","SUCCESS","2023-11-24T15:53:43.188+08:00[Asia/Shanghai]","0.0","60.87"
"Pre registration","Pre logging with tax rate","SUCCESS","2023-11-24T15:54:44.751+08:00[Asia/Shanghai]","0.0","95.3"
