"Story","Title","Result","Date","Stability","Duration (s)"
"Supplier creation","View a supplier","SUCCESS","2023-11-24T16:41:36.395+08:00[Asia/Shanghai]","0.0","64.92"
"Supplier creation","Edit a supplier","SUCCESS","2023-11-24T16:42:42.008+08:00[Asia/Shanghai]","0.0","94.84"
"Supplier creation","Payment terms update","SUCCESS","2023-11-24T16:44:17.546+08:00[Asia/Shanghai]","0.0","109.19"
"Supplier creation","Search a supplier","SUCCESS","2023-11-24T16:46:07.478+08:00[Asia/Shanghai]","0.0","44.36"
"Supplier creation","Validate or deactivate a supplier","SUCCESS","2023-11-24T16:46:52.511+08:00[Asia/Shanghai]","0.0","60.94"
"Supplier creation","Supplier and supplier master creation","SUCCESS","2023-11-24T16:47:54.148+08:00[Asia/Shanghai]","0.0","77.25"
