"Story","Title","Result","Date","Stability","Duration (s)"
"Annual statistical budget","Create annual statistical entry","SUCCESS","2023-11-22T17:27:07.357+08:00[Asia/Shanghai]","0.0","38.31"
"Batch posting","Batch posting voiding process","SUCCESS","2023-11-22T17:27:46.482+08:00[Asia/Shanghai]","0.0","125.5"
"Batch posting","Batch posting general ledger entry","SUCCESS","2023-11-22T17:29:52.731+08:00[Asia/Shanghai]","0.0","113.2"
"General ledger entries","Create general ledger entry using sustainability accounts","SUCCESS","2023-11-22T17:31:47.076+08:00[Asia/Shanghai]","0.0","177.6"
"General ledger entries","Create general ledger entry","SUCCESS","2023-11-22T17:34:45.369+08:00[Asia/Shanghai]","0.0","104.87"
"Internal transfer","Create internal transfer entry","SUCCESS","2023-11-22T17:39:12.132+08:00[Asia/Shanghai]","0.0","76.77"
"Salary advance","Create salary advance entry","SUCCESS","2023-11-22T17:41:03.427+08:00[Asia/Shanghai]","0.0","87.26"
"Working advance","Create working advance entry","SUCCESS","2023-11-22T17:42:31.504+08:00[Asia/Shanghai]","0.0","88.13"
