"Story","Title","Result","Date","Stability","Duration (s)"
"Supplier creation","View a supplier","SUCCESS","2023-11-22T16:11:38.219+08:00[Asia/Shanghai]","0.0","52.25"
"Supplier creation","Edit a supplier","SUCCESS","2023-11-22T16:12:31.165+08:00[Asia/Shanghai]","0.0","105.17"
"Supplier creation","Payment terms update","SUCCESS","2023-11-22T16:14:17.068+08:00[Asia/Shanghai]","0.0","107.86"
"Supplier creation","Search a supplier","SUCCESS","2023-11-22T16:16:05.63+08:00[Asia/Shanghai]","0.0","44.54"
"Supplier creation","Validate or deactivate a supplier","SUCCESS","2023-11-22T16:16:50.838+08:00[Asia/Shanghai]","0.0","60.06"
"Supplier creation","Supplier and supplier master creation","SUCCESS","2023-11-22T16:17:51.582+08:00[Asia/Shanghai]","0.0","70.73"
