"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Application of prepayment full","FAILURE","2023-11-20T09:58:38.533+08:00[Asia/Shanghai]","0.0","32.56"
"Unbilled PO receipts","Matching receipt","FAILURE","2023-11-20T11:23:30.369+08:00[Asia/Shanghai]","0.0","47.34"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2023-11-20T11:24:18.424+08:00[Asia/Shanghai]","0.0","54.63"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2023-11-20T11:25:13.78+08:00[Asia/Shanghai]","0.0","48.08"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2023-11-20T11:26:02.562+08:00[Asia/Shanghai]","0.0","48.36"
"Unbilled PO receipts","Unbilled POCUPR simple","FAILURE","2023-11-20T11:26:51.628+08:00[Asia/Shanghai]","0.0","42.34"
"Voucher entries","Release retention full","FAILURE","2023-11-20T11:27:35.072+08:00[Asia/Shanghai]","0.0","46.33"
"Voucher entries","Simple prepayment","FAILURE","2023-11-20T11:53:15.321+08:00[Asia/Shanghai]","0.0","31.46"
"Voucher entries","Voucher entry export CSV file","FAILURE","2023-11-20T12:15:32.257+08:00[Asia/Shanghai]","0.0","167.89"
