"Story","Title","Result","Date","Stability","Duration (s)"
"Batch posting","Batch posting voiding process","SUCCESS","2023-11-20T12:30:32.46+08:00[Asia/Shanghai]","0.0","123.08"
"Batch posting","Batch posting general ledger entry","SUCCESS","2023-11-20T12:32:36.24+08:00[Asia/Shanghai]","0.0","109.77"
