"Story","Title","Result","Date","Stability","Duration (s)"
"Supplier creation","View a supplier","SUCCESS","2023-11-20T11:14:45.834+08:00[Asia/Shanghai]","0.0","54.88"
"Supplier creation","Edit a supplier","SUCCESS","2023-11-20T11:15:41.406+08:00[Asia/Shanghai]","0.0","102.2"
"Supplier creation","Payment terms update","SUCCESS","2023-11-20T11:17:24.331+08:00[Asia/Shanghai]","0.0","107.18"
"Supplier creation","Search a supplier","SUCCESS","2023-11-20T11:19:12.196+08:00[Asia/Shanghai]","0.0","41.25"
"Supplier creation","Validate or deactivate a supplier","SUCCESS","2023-11-20T11:19:54.141+08:00[Asia/Shanghai]","0.0","56.33"
"Supplier creation","Supplier and supplier master creation","SUCCESS","2023-11-20T11:20:51.186+08:00[Asia/Shanghai]","0.0","73.72"
