"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Add a bank account","SUCCESS","2023-11-20T09:43:09.066+08:00[Asia/Shanghai]","0.0","100.6"
"Manage bank account","Edit a bank account","SUCCESS","2023-11-20T09:44:50.366+08:00[Asia/Shanghai]","0.0","80.44"
"Manage bank account","Search a bank account","SUCCESS","2023-11-20T09:46:11.535+08:00[Asia/Shanghai]","0.0","37.85"
"Manage bank account","Activate a bank account","SUCCESS","2023-11-20T09:46:50.071+08:00[Asia/Shanghai]","0.0","52.08"
"Manage bank account","Manage bank account using GVAGL bank account","SUCCESS","2023-11-20T09:47:42.837+08:00[Asia/Shanghai]","0.0","199.5"
