"Story","Title","Result","Date","Stability","Duration (s)"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2023-11-20T10:19:09.181+08:00[Asia/Shanghai]","0.0","130.7"
"Pre registration","Pre logging multi docs","SUCCESS","2023-11-20T10:21:20.565+08:00[Asia/Shanghai]","0.0","185.12"
"Pre registration","Pre logging","SUCCESS","2023-11-20T10:24:26.431+08:00[Asia/Shanghai]","0.0","85.5"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2023-11-20T10:25:52.622+08:00[Asia/Shanghai]","0.0","88.85"
"Pre registration","Pre logging simple","SUCCESS","2023-11-20T10:27:22.153+08:00[Asia/Shanghai]","0.0","60.77"
"Pre registration","Pre logging with tax rate","SUCCESS","2023-11-20T10:28:23.599+08:00[Asia/Shanghai]","0.0","89.28"
