"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Application of prepayment full","FAILURE","2023-11-23T14:33:42.962+08:00[Asia/Shanghai]","0.0","362.94"
"Unbilled PO receipts","Matching receipt","FAILURE","2023-11-23T16:02:32.862+08:00[Asia/Shanghai]","0.0","39.35"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2023-11-23T16:03:12.934+08:00[Asia/Shanghai]","0.0","49.65"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2023-11-23T16:04:03.279+08:00[Asia/Shanghai]","0.0","57.79"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2023-11-23T16:05:01.776+08:00[Asia/Shanghai]","0.0","55.28"
"Unbilled PO receipts","Unbilled POCUPR simple","FAILURE","2023-11-23T16:05:57.747+08:00[Asia/Shanghai]","0.0","45.09"
"Voucher entries","Release retention full","FAILURE","2023-11-23T16:06:43.925+08:00[Asia/Shanghai]","0.0","47.45"
"Voucher entries","Voucher entry export CSV file","FAILURE","2023-11-23T16:55:48.581+08:00[Asia/Shanghai]","0.0","154.98"
