"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2023-11-23T16:09:41.898+08:00[Asia/Shanghai]","0.0","52.14"
"Voucher entries","Search and post PV","ERROR","2023-11-23T16:16:56.711+08:00[Asia/Shanghai]","0.0","52.25"
"Voucher entries","Voucher match with tax","ERROR","2023-11-23T16:20:25.422+08:00[Asia/Shanghai]","0.0","40.52"
"Voucher entries","Partial voucher match","ERROR","2023-11-23T16:21:06.642+08:00[Asia/Shanghai]","0.0","70.74"
"Voucher entries","Voucher match with retention","ERROR","2023-11-23T16:22:18.069+08:00[Asia/Shanghai]","0.0","50.03"
"Voucher entries","Voucher entry import CSV file","ERROR","2023-11-23T16:23:08.791+08:00[Asia/Shanghai]","0.0","98.86"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2023-11-23T16:24:48.341+08:00[Asia/Shanghai]","0.0","55.52"
"Voucher entries","Partial voucher match with tax rate","ERROR","2023-11-23T16:25:44.57+08:00[Asia/Shanghai]","0.0","81.3"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2023-11-23T16:31:49.615+08:00[Asia/Shanghai]","0.0","52.42"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2023-11-23T16:37:01.238+08:00[Asia/Shanghai]","0.0","53.4"
"Voucher entries","Partial voucher match with retention","ERROR","2023-11-23T16:37:55.338+08:00[Asia/Shanghai]","0.0","52.31"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2023-11-23T16:38:48.336+08:00[Asia/Shanghai]","0.0","53.3"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2023-11-23T16:45:46.906+08:00[Asia/Shanghai]","0.0","49.99"
"Voucher entries","Voucher match with retention and tax","ERROR","2023-11-23T16:46:37.583+08:00[Asia/Shanghai]","0.0","49.49"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2023-11-23T16:47:27.764+08:00[Asia/Shanghai]","0.0","51.18"
"Voucher entries","Simple voucher match","ERROR","2023-11-23T16:48:19.666+08:00[Asia/Shanghai]","0.0","52.09"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2023-11-23T16:51:25.394+08:00[Asia/Shanghai]","0.0","53.51"
"Voucher entries","Voucher matching","ERROR","2023-11-23T16:55:01.685+08:00[Asia/Shanghai]","0.0","46.21"
"Voucher entries","Voucher match with rounded off tax","ERROR","2023-11-23T17:03:18.642+08:00[Asia/Shanghai]","0.0","46.25"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2023-11-23T17:06:14.197+08:00[Asia/Shanghai]","0.0","50.03"
