"Story","Title","Result","Date","Stability","Duration (s)"
"General ledger entries","Create general ledger entry using sustainability accounts","FAILURE","2023-09-25T20:14:00.529+08:00[Asia/Shanghai]","0.0","68.22"
"Inquiry and reports","Order inquiry and update","ERROR","2023-09-25T20:16:56.904+08:00[Asia/Shanghai]","0.0","184.8"
"Working advance","Create working advance entry","ERROR","2023-09-25T20:23:36.252+08:00[Asia/Shanghai]","0.0","99.7"
