"Story","Title","Result","Date","Stability","Duration (s)"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2023-09-25T17:28:26.196+08:00[Asia/Shanghai]","0.0","278.41"
"Pre registration","Pre logging multi docs","SUCCESS","2023-09-25T17:33:05.34+08:00[Asia/Shanghai]","0.0","198.57"
"Pre registration","Pre logging","SUCCESS","2023-09-25T17:36:24.608+08:00[Asia/Shanghai]","0.0","93.86"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2023-09-25T17:37:59.156+08:00[Asia/Shanghai]","0.0","91.08"
"Pre registration","Pre logging simple","SUCCESS","2023-09-25T17:39:30.923+08:00[Asia/Shanghai]","0.0","63.89"
"Pre registration","Pre logging with tax rate","SUCCESS","2023-09-25T17:40:35.486+08:00[Asia/Shanghai]","0.0","125.92"
