"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Manual payment with multiple documents","ERROR","2023-09-25T16:58:11.315+08:00[Asia/Shanghai]","0.0","230.61"
"Payments","Application of prepayment full","ERROR","2023-09-25T17:02:02.7+08:00[Asia/Shanghai]","0.0","211.19"
"Payments","Manual payment with negative amount","ERROR","2023-09-25T17:05:34.556+08:00[Asia/Shanghai]","0.0","253.66"
"Payments","Manual payment with zero payments","ERROR","2023-09-25T17:09:48.89+08:00[Asia/Shanghai]","0.0","443.99"
"Payments","Manual payment full","ERROR","2023-09-25T17:17:13.619+08:00[Asia/Shanghai]","0.0","270.01"
