"Story","Title","Result","Date","Stability","Duration (s)"
"Account recon","Refresh accounts","SUCCESS","2023-11-18T00:10:19.261+08:00[Asia/Shanghai]","0.0","88.52"
"Annual statistical budget","Create annual statistical entry","SUCCESS","2023-11-18T00:11:48.577+08:00[Asia/Shanghai]","0.0","29.86"
"Batch posting","Batch posting voiding process","SUCCESS","2023-11-18T00:12:19.254+08:00[Asia/Shanghai]","0.0","117.91"
"Batch posting","Batch posting general ledger entry","SUCCESS","2023-11-18T00:14:17.845+08:00[Asia/Shanghai]","0.0","110.0"
"General ledger entries","Create general ledger entry using sustainability accounts","SUCCESS","2023-11-18T00:16:09.055+08:00[Asia/Shanghai]","0.0","180.16"
"General ledger entries","Create general ledger entry","SUCCESS","2023-11-18T00:19:09.921+08:00[Asia/Shanghai]","0.0","92.39"
"Internal transfer","Create internal transfer entry","SUCCESS","2023-11-18T00:23:28.152+08:00[Asia/Shanghai]","0.0","69.56"
"Monthly statistical entries","Create monthly statistical entry","SUCCESS","2023-11-18T00:24:38.523+08:00[Asia/Shanghai]","0.0","44.65"
"Salary advance","Create salary advance entry","SUCCESS","2023-11-18T00:25:23.972+08:00[Asia/Shanghai]","0.0","78.87"
"Working advance","Create working advance entry","SUCCESS","2023-11-18T00:26:43.649+08:00[Asia/Shanghai]","0.0","73.8"
