"Story","Title","Result","Date","Stability","Duration (s)"
"Supplier creation","View a supplier","SUCCESS","2023-11-17T22:56:51.079+08:00[Asia/Shanghai]","0.0","57.69"
"Supplier creation","Edit a supplier","SUCCESS","2023-11-17T22:57:49.454+08:00[Asia/Shanghai]","0.0","95.54"
"Supplier creation","Payment terms update","SUCCESS","2023-11-17T22:59:25.674+08:00[Asia/Shanghai]","0.0","101.47"
"Supplier creation","Search a supplier","SUCCESS","2023-11-17T23:01:07.887+08:00[Asia/Shanghai]","0.0","41.94"
"Supplier creation","Validate or deactivate a supplier","SUCCESS","2023-11-17T23:01:50.532+08:00[Asia/Shanghai]","0.0","59.58"
"Supplier creation","Supplier and supplier master creation","SUCCESS","2023-11-17T23:02:50.823+08:00[Asia/Shanghai]","0.0","72.9"
