"Story","Title","Result","Date","Stability","Duration (s)"
"Annual statistical budget","Create annual statistical entry","SUCCESS","2023-11-21T12:30:33.165+08:00[Asia/Shanghai]","0.0","42.33"
"Batch posting","Batch posting voiding process","SUCCESS","2023-11-21T12:31:16.302+08:00[Asia/Shanghai]","0.0","121.14"
"Batch posting","Batch posting general ledger entry","SUCCESS","2023-11-21T12:33:18.181+08:00[Asia/Shanghai]","0.0","112.44"
"General ledger entries","Create general ledger entry using sustainability accounts","SUCCESS","2023-11-21T12:35:11.823+08:00[Asia/Shanghai]","0.0","177.17"
"General ledger entries","Create general ledger entry","SUCCESS","2023-11-21T12:38:09.74+08:00[Asia/Shanghai]","0.0","102.54"
"Internal transfer","Create internal transfer entry","SUCCESS","2023-11-21T12:42:38.899+08:00[Asia/Shanghai]","0.0","74.53"
"Salary advance","Create salary advance entry","SUCCESS","2023-11-21T12:44:26.289+08:00[Asia/Shanghai]","0.0","86.1"
"Working advance","Create working advance entry","SUCCESS","2023-11-21T12:45:53.203+08:00[Asia/Shanghai]","0.0","81.36"
