"Story","Title","Result","Date","Stability","Duration (s)"
"Supplier creation","View a supplier","SUCCESS","2023-11-15T17:47:03.606+08:00[Asia/Shanghai]","0.0","58.74"
"Supplier creation","Payment terms update","SUCCESS","2023-11-15T17:49:29.271+08:00[Asia/Shanghai]","0.0","115.31"
"Supplier creation","Search a supplier","SUCCESS","2023-11-15T17:51:25.333+08:00[Asia/Shanghai]","0.0","45.56"
"Supplier creation","Validate or deactivate a supplier","SUCCESS","2023-11-15T17:52:11.633+08:00[Asia/Shanghai]","0.0","56.87"
