"Story","Title","Result","Date","Stability","Duration (s)"
"Pre registration","Pre logging and gl distribution voucher match","FAILURE","2023-11-15T17:17:02.453+08:00[Asia/Shanghai]","0.0","75.12"
"Pre registration","Pre logging multi docs","FAILURE","2023-11-15T17:18:18.339+08:00[Asia/Shanghai]","0.0","70.83"
"Pre registration","Pre logging","FAILURE","2023-11-15T17:19:29.885+08:00[Asia/Shanghai]","0.0","77.49"
"Pre registration","Pre logging with tax rate rounded","FAILURE","2023-11-15T17:20:48.135+08:00[Asia/Shanghai]","0.0","73.57"
"Pre registration","Pre logging simple","FAILURE","2023-11-15T17:22:02.463+08:00[Asia/Shanghai]","0.0","75.66"
"Pre registration","Pre logging with tax rate","FAILURE","2023-11-15T17:23:18.828+08:00[Asia/Shanghai]","0.0","64.96"
