"Story","Title","Result","Date","Stability","Duration (s)"
"Batch posting","Batch posting general ledger entry","SUCCESS","2023-11-15T18:40:30.344+08:00[Asia/Shanghai]","0.0","114.12"
"General ledger entries","Create general ledger entry using sustainability accounts","SUCCESS","2023-11-15T18:42:25.765+08:00[Asia/Shanghai]","0.0","190.9"
"General ledger entries","Create general ledger entry","SUCCESS","2023-11-15T18:45:37.437+08:00[Asia/Shanghai]","0.0","109.71"
"Internal transfer","Create internal transfer entry","SUCCESS","2023-11-15T18:50:24.547+08:00[Asia/Shanghai]","0.0","80.17"
"Monthly statistical entries","Create monthly statistical entry","SUCCESS","2023-11-15T18:51:45.6+08:00[Asia/Shanghai]","0.0","45.65"
"Salary advance","Create salary advance entry","SUCCESS","2023-11-15T18:52:32.126+08:00[Asia/Shanghai]","0.0","87.37"
"Working advance","Create working advance entry","SUCCESS","2023-11-15T18:54:00.381+08:00[Asia/Shanghai]","0.0","80.65"
