"Story","Title","Result","Date","Stability","Duration (s)"
"Supplier creation","Edit a supplier","ERROR","2023-11-15T17:48:03.091+08:00[Asia/Shanghai]","0.0","85.46"
"Supplier creation","Supplier and supplier master creation","ERROR","2023-11-15T17:53:09.237+08:00[Asia/Shanghai]","0.0","69.41"
