"Story","Title","Result","Date","Stability","Duration (s)"
"Unbilled PO receipts","Close unbilled PO receipt","FAILURE","2023-11-15T17:54:20.149+08:00[Asia/Shanghai]","0.0","43.22"
"Unbilled PO receipts","Matching receipt","FAILURE","2023-11-15T17:55:04.147+08:00[Asia/Shanghai]","0.0","51.69"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2023-11-15T17:55:56.654+08:00[Asia/Shanghai]","0.0","84.19"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2023-11-15T17:57:21.641+08:00[Asia/Shanghai]","0.0","76.26"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2023-11-15T17:58:38.622+08:00[Asia/Shanghai]","0.0","80.74"
"Unbilled PO receipts","Unbilled POCUPR simple","FAILURE","2023-11-15T18:00:00.1+08:00[Asia/Shanghai]","0.0","46.41"
