"Story","Title","Result","Date","Stability","Duration (s)"
"Supplier creation","Search a supplier","FAILURE","2023-09-18T19:09:05.593+08:00[Asia/Shanghai]","0.0","42.14"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2023-09-18T19:09:48.398+08:00[Asia/Shanghai]","0.0","44.37"
