"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Manual payment partial","ERROR","2023-09-18T17:34:19.775+08:00[Asia/Shanghai]","0.0","241.99"
"Payments","Manual payment with multiple documents","ERROR","2023-09-18T17:38:22.451+08:00[Asia/Shanghai]","0.0","242.06"
"Payments","Application of prepayment full","ERROR","2023-09-18T17:42:25.244+08:00[Asia/Shanghai]","0.0","219.8"
"Payments","Manual payment with negative amount","ERROR","2023-09-18T17:46:05.73+08:00[Asia/Shanghai]","0.0","248.5"
"Payments","Manual payment with zero payments","ERROR","2023-09-18T17:50:14.932+08:00[Asia/Shanghai]","0.0","435.02"
"Payments","Manual payment full","ERROR","2023-09-18T17:57:30.672+08:00[Asia/Shanghai]","0.0","259.12"
"Payments","Application of prepayment partial","ERROR","2023-09-18T18:01:50.45+08:00[Asia/Shanghai]","0.0","218.67"
