"Story","Title","Result","Date","Stability","Duration (s)"
"Manage bank account","Search a bank account","FAILURE","2023-09-18T17:29:39.222+08:00[Asia/Shanghai]","0.0","22.75"
"Supplier creation","Search a supplier","FAILURE","2023-09-18T19:09:05.593+08:00[Asia/Shanghai]","0.0","42.14"
"Supplier creation","Validate or deactivate a supplier","FAILURE","2023-09-18T19:09:48.398+08:00[Asia/Shanghai]","0.0","44.37"
"Unbilled PO receipts","Matching receipt","FAILURE","2023-09-18T19:13:11.342+08:00[Asia/Shanghai]","0.0","41.52"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2023-09-18T19:13:53.565+08:00[Asia/Shanghai]","0.0","53.47"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2023-09-18T19:14:47.715+08:00[Asia/Shanghai]","0.0","56.18"
"Voucher entries","Release retention full","FAILURE","2023-09-18T19:18:03.843+08:00[Asia/Shanghai]","0.0","50.16"
"General ledger entries","Create general ledger entry using sustainability accounts","FAILURE","2023-09-18T20:32:17.508+08:00[Asia/Shanghai]","0.0","73.91"
