"Story","Title","Result","Date","Stability","Duration (s)"
"Pre registration","Pre logging and gl distribution voucher match","SUCCESS","2023-09-18T18:05:32.997+08:00[Asia/Shanghai]","0.0","254.46"
"Pre registration","Pre logging multi docs","SUCCESS","2023-09-18T18:09:48.125+08:00[Asia/Shanghai]","0.0","191.5"
"Pre registration","Pre logging","SUCCESS","2023-09-18T18:13:00.372+08:00[Asia/Shanghai]","0.0","91.05"
"Pre registration","Pre logging with tax rate rounded","SUCCESS","2023-09-18T18:14:32.091+08:00[Asia/Shanghai]","0.0","98.71"
"Pre registration","Pre logging simple","SUCCESS","2023-09-18T18:16:11.485+08:00[Asia/Shanghai]","0.0","63.92"
"Pre registration","Pre logging with tax rate","SUCCESS","2023-09-18T18:17:16.113+08:00[Asia/Shanghai]","0.0","96.04"
